Untitled report
"October 14, 2020 - June 5, 2026"
Day,[ccw.vn] Dang ky test ride_Conversions,[dealer ingco] Call hotline_Conversions,[dealer ingco] Contact Zalo OA_Conversions,[dealer ingco] Submit lead form_Conversions,[ingcovietnam.vn]-call-hotline_Conversions,[ingcovietnam.vn]-chat-FB-Messenger_Conversions,[ingcovietnam.vn]-chat-ZaloOA_Conversions,[ingcovietnam.vn]-finalize-dealer-form_Conversions,[shop.tecotec.vn]-facebook_Conversions,[shop.tecotec.vn]-finalize-product-RFQ_Conversions,[shop.tecotec.vn]-finalize-RFQ_Conversions,[shop.tecotec.vn]-form_Conversions,[shop.tecotec.vn]-hotline_Conversions,[shop.tecotec.vn]-zalo_Conversions,Add to cart_Conversions,Add to cart (1)_Conversions,Business profile - Call_Conversions,Business profile - Directions_Conversions,Clicks to call_Conversions,Contact hotline/zalo/fb | Mahr 817 CLT_Conversions,Form [tecostore.vn]_Conversions,Form Finalize - Seminar_Conversions,Form request | Mahr 817 CLT_Conversions,Form Start - Seminar_Conversions,Form Submit - Seminar_Conversions,Hotline-Tecostore_Conversions,ingcovietnam.vn (web) add_to_cart_Conversions,ingcovietnam.vn (web) begin_checkout_Conversions,ingcovietnam.vn (web) chat_zaloOA_Conversions,ingcovietnam.vn (web) form_start_Conversions,ingcovietnam.vn (web) Hotline clicked_Conversions,ingcovietnam.vn (web) purchase_Conversions,ingcovietnam.vn (web) select_content_Conversions,ingcovietnam.vn (web) submit_form_dealer_Conversions,ingcovietnam.vn (web) view_item_Conversions,ingcovietnam.vn (web) view_item_list_Conversions,Lead form - Submit_Conversions,Local actions - Directions_Conversions,Local actions - Other engagements_Conversions,Local actions - Website visits_Conversions,Lượt gửi biểu mẫu khách hàng tiềm năng (Sự kiện trong Google Analytics form_submit)_Conversions,Lượt xem trang (Sự kiện trong Google Analytics view_cart)_Conversions,Page view_Conversions,Page view - Seminar_Conversions,Purchase_Conversions,Purchase (1)_Conversions,shop.tecotec.vn (web) add_to_cart_Conversions,shop.tecotec.vn (web) begin_checkout_Conversions,shop.tecotec.vn (web) call_hotline_Conversions,shop.tecotec.vn (web) chat_FbMessenger_Conversions,shop.tecotec.vn (web) chat_zaloOA_Conversions,shop.tecotec.vn (web) dien_form_GA4_Conversions,shop.tecotec.vn (web) form_start_Conversions,shop.tecotec.vn (web) submit_WPForms_Conversions,shop.tecotec.vn (web) view_cart_Conversions,Tecostore.vn - Facebook_Conversions,Tecostore.vn - Instagram_Conversions,Tecostore.vn - Linkedin_Conversions,Tecostore.vn - Youtube_Conversions,Tecostore.vn - Zalo_Conversions,tecostore.vn form_finalize_Conversions,tecostore.vn form_start_Conversions,tecostore.vn form_submit_Conversions,tecostore.vn Formsubmit_Conversions,tecostore.vn GA4 (web) add_to_cart_Conversions,tecostore.vn GA4 (web) begin_checkout_Conversions,tecostore.vn GA4 (web) call_hotline_Conversions,tecostore.vn GA4 (web) click_de_nghi_bao_gia_header_Conversions,tecostore.vn GA4 (web) de_nghi_bao_gia_san_pham_Conversions,tecostore.vn GA4 (web) finalize_de_nghi_bao_gia_header_Conversions,tecostore.vn GA4 (web) purchase_Conversions,tecostore.vn GA4 (web) view_cart_Conversions,tecostore.vn GA4 (web) view_item_Conversions,Website traffic_Conversions,Xem 8 trang_Conversions,Xem trang trên 45s_Conversions,YouTube channel subscriptions_Conversions,YouTube follow-on views_Conversions,Zalo OA - Tecostore_Conversions
2026-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,040.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,052.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,095.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,753.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,"2,413.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,815.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,238.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,075.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,,,,,,,,,,,,,,,,,,,,,,,,2.00,3.00,,,,,,,,,,,,,,,,,,,"1,285.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,890.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
